SMILES,ACTIVITY
Fc1cccc(Cl)c1CSCC(=O)NCc2cccnc2,False
Brc1ccc(cc1)C(=O)NCC(=O)NCc2cccnc2,False
CC(=NNC(=O)Cc1c(F)cccc1Cl)c2cccnc2,False
CC(C)NC(=O)CSCc1c(Cl)cccc1Cl,False
CC(C)NC(=O)CSCc1c(F)cccc1Cl,False
CC(CC(=O)NCc1cccnc1)c2ccccc2,False
CCC(CC)C(=O)NCc1cccnc1,False
CCCCCCC(CC(=O)NCc1cccnc1)CC(=O)NCc2cccnc2,False
CCN(CC(=O)NCc1ccc(F)cc1)C(=O)Cc2c(F)cccc2Cl,False
CCN1C(=O)C=C(SCC(=O)NCc2cccnc2)c3ccccc13,True
CN(CC(=O)NCc1cccnc1)S(=O)(=O)c2cc(Cl)ccc2Cl,False
CN(CC(=O)NCc1cccnc1)S(=O)(=O)c2ccc(F)cc2,False
COC(=O)CNC(=O)Cc1c(F)cccc1Cl,False
COCCNC(=O)CSCc1c(F)cccc1Cl,False
COc1ccc(CNC(=O)CSCc2cccc(Cl)c2)cc1,False
COc1ccc(OCC(=O)NCc2cccnc2)cc1,False
COc1cccc(c1)C(=O)NCCSCc2c(F)cccc2Cl,False
COc1ccccc1C(=O)NCCSCc2c(F)cccc2Cl,True
CS(=O)(=O)N(CC(=O)NCc1cccnc1)Cc2ccc(Cl)cc2,False
CSc1ncc(Cl)c(n1)C(=O)NCc2cccnc2,False
Cc1c(cnn1c2ccc(F)cc2)C(=O)NCCSCc3c(F)cccc3Cl,False
Cc1ccc(CNC(=O)CSCc2cccc(F)c2)cc1,False
Cc1ccc(CNC(=O)CSCc2ccccc2F)cc1,False
Cc1ccc(CSCC(=O)NCc2cccnc2)cc1,False
Cc1ccc(OCC(=O)NCc2cccnc2)cc1,False
Cc1ccc(cc1)c2oc(C)c(CSCC(=O)NCc3cccnc3)n2,False
ClC(Cl)(Cl)C(=O)NCc1cccnc1,True
Clc1c(sc2ccccc12)C(=O)NCC(=O)NCc3cccnc3,False
Clc1ccc(NC(=O)NCc2cccnc2)cc1,False
Clc1ccc(Sc2ncccc2C(=O)NCc3cccnc3)cc1,False
Clc1ccc(cc1)C2CCC(CC2)C(=O)NCc3cccnc3,False
Clc1ccc(cc1)S(=O)(=O)NCCC(=O)NCc2cccnc2,False
Clc1cccc(CNC(=O)c2cccnc2)c1,False
Clc1cccc(Cl)c1C=NNC(=O)CC(=O)NCc2cccnc2,False
Clc1cccc(Cl)c1CC(=O)Nc2cccnc2,False
Clc1cccc(Cl)c1CSCC(=O)NCC2CCCO2,False
Clc1cccc(Cl)c1CSCC(=O)NCc2occc2,True
Clc1cccc(Cl)c1CSCC(=O)Nc2cccnc2,False
Clc1cccc(Cl)c1CSCC(=O)Nc2nccs2,False
Clc1cccc(NC(=O)NCc2cccnc2)c1,False
Clc1cccc(NC(=O)NCc2cccnc2)c1Cl,False
Clc1cccc(c1)C(=O)NCc2cccnc2,False
Clc1ccccc1C(=O)Nc2ccccc2C(=O)NCc3cccnc3,False
Clc1ccccc1CC(=O)NCc2cccnc2,False
Clc1ccccc1OCc2ccc(cc2)C(=O)NCc3cccnc3,False
Clc1ccccc1c2noc(CCCC(=O)NCc3cccnc3)n2,False
FC(F)(F)c1cnc(CC(=O)NCc2cccnc2)c(Cl)c1,False
Fc1ccc(CC(=O)NCc2cccnc2)cc1,False
Fc1ccc(CNC(=O)CSCc2ccc(F)cc2)cc1,False
Fc1ccc(CNC(=O)CSCc2ccccc2F)cc1,False
Fc1ccc(NC(=O)NCc2cccnc2)c(F)c1,False
Fc1ccc(cc1)S(=O)(=O)N(CC(=O)NCc2cccnc2)Cc3ccccc3,False
Fc1cccc(CSCC(=O)NCc2ccccc2)c1,True
Fc1cccc(Cl)c1CC(=O)NCC(=O)OCc2ccccc2,False
Fc1cccc(Cl)c1CC(=O)NCc2cccnc2,False
Fc1cccc(Cl)c1CC(=O)NN=Cc2cccnc2,False
Fc1cccc(Cl)c1CC(=O)Nc2cccc3ncccc23,False
Fc1cccc(Cl)c1CNCc2cccnc2,True
Fc1cccc(Cl)c1CSCC(=O)NCC2CCCO2,False
Fc1cccc(Cl)c1CSCC(=O)NCc2occc2,False
Fc1cccc(Cl)c1CSCC(=O)NN=C(S)NC2CCCCC2,False
Fc1cccc(Cl)c1CSCC(=O)Nc2cccnc2,False
Fc1cccc(Cl)c1CSCCNC(=O)CCc2ccccc2,False
Fc1cccc(Cl)c1CSCCNC(=O)Nc2ccccc2,False
Fc1cccc(Cl)c1CSCCNC(=O)c2occc2,False
Fc1cccc(Cl)c1CSc2ccc(nn2)c3cccnc3,False
Fc1cccc(F)c1C(=O)Nc2ccccc2C(=O)NCc3cccnc3,False
Fc1cccc(F)c1CSCC(=O)Nc2ccccc2,False
Fc1ccccc1C(=O)NC(=S)NCc2cccnc2,False
Fc1ccccc1C(=O)Nc2ccccc2C(=O)NCc3cccnc3,False
Fc1ccccc1CN2CCN(CC(=O)NCc3cccnc3)C2=O,False
Fc1ccccc1CSCC(=O)NCc2ccccc2,False
Fc1ccccc1CSCCC(=O)NCc2cccnc2,False
NS(=O)(=O)c1ccc(CNC(=O)Cc2c(F)cccc2Cl)cc1,False
O=C(CC(=O)NCc1cccnc1)NCc2cccnc2,True
O=C(CC(=O)NN=C1CCCCCC1)NCc2cccnc2,False
O=C(CCSc1ccccc1)NCc2cccnc2,False
O=C(CNC(=O)COc1ccccc1)NCc2cccnc2,False
O=C(CSCc1cnn(c2ccccc2)c1n3cccc3)NCc4cccnc4,False
O=C(Cc1ccccc1)NCc2cccnc2,False
O=C(Cc1cccs1)NCc2cccnc2,False
OC(=O)CSCC(=O)NCc1c(Cl)cccc1Oc2ccccc2,False
OC(=O)\C=C/C(=O)NCc1cccnc1,True
OC(=O)c1ccccc1C(=O)NCc2cccnc2,False
OC(=O)c1oc(CSCc2c(F)cccc2Cl)cc1,False
S=C(NCc1cccnc1)NCc2cccnc2,True
[O-][N+](=O)c1ccc(CC(=O)NCc2cccnc2)cc1,False
[O-][N+](=O)c1cccnc1SCc2c(F)cccc2Cl,True
